symbol,company_name,foreign_ownership,max_allowed,investor_limit
2030,المصافي,49.0%,2.72%,0.0%
2222,أرامكو السعودية,49.0%,0.62%,0.0%
2380,بترو رابغ,49.0%,2.17%,37.5%
2381,الحفر العربية,49.0%,3.96%,34.3%
2382,أديس,49.0%,6.6%,0.0%
4030,البحري*,0.0%,0.01%,0.0%
4200,الدريس,49.0%,11.59%,0.0%
1201,تكوين,49.0%,3.49%,0.0%
1202,مبكو,49.0%,6.56%,0.0%
1210,بي سي آي,49.0%,3.42%,0.0%
1211,معادن,49.0%,8.86%,0.0%
1301,أسلاك,49.0%,2.17%,0.0%
1304,اليمامة للحديد,49.0%,2.02%,0.0%
1320,أنابيب السعودية,49.0%,4.23%,16.37%
1321,أنابيب الشرق,49.0%,7.04%,26.49%
1322,أماك,49.0%,9.69%,14.5%
1323,يو سي آي سي,49.0%,1.09%,0.0%
2001,كيمانول,49.0%,3.33%,0.0%
2010,سابك,49.0%,5.66%,0.0%
2020,سابك للمغذيات الزراعية,49.0%,12.67%,0.01%
2060,التصنيع,49.0%,6.15%,0.0%
2090,جبسكو,49.0%,2.15%,0.0%
2150,زجاج,49.0%,3.56%,0.0%
2170,اللجين,49.0%,5.08%,0.0%
2180,فيبكو,49.0%,2.07%,0.0%
2200,أنابيب,49.0%,3.94%,0.0%
2210,نماء للكيماويات,49.0%,1.81%,0.0%
2220,معدنية,49.0%,2.51%,0.0%
2223,لوبريف,49.0%,6.36%,0.0%
2240,الزامل للصناعة,49.0%,20.09%,0.0%
2250,المجموعة السعودية,49.0%,8.31%,0.0%
2290,ينساب,49.0%,9.66%,0.0%
2300,صناعة الورق,49.0%,3.22%,0.0%
2310,سبكيم العالمية,49.0%,10.87%,0.0%
2330,المتقدمة,49.0%,7.73%,0.0%
2350,كيان السعودية,49.0%,9.04%,0.0%
2360,الفخارية,49.0%,2.6%,0.0%
3002,أسمنت نجران,49.0%,2.97%,0.0%
3003,أسمنت المدينة,49.0%,10.29%,0.0%
3004,أسمنت الشمالية,49.0%,4.87%,0.0%
3005,أسمنت ام القرى,49.0%,4.89%,0.0%
3007,الواحة,49.0%,2.4%,0.0%
3008,الكثيري,49.0%,1.95%,0.0%
3010,أسمنت العربية,49.0%,9.36%,0.0%
3020,أسمنت اليمامة,49.0%,7.94%,0.0%
3030,أسمنت السعودية,49.0%,7.95%,0.0%
3040,أسمنت القصيم,49.0%,5.84%,0.0%
3050,أسمنت الجنوب,49.0%,4.99%,0.0%
3060,أسمنت ينبع,49.0%,6.91%,0.0%
3080,أسمنت الشرقية,49.0%,7.11%,0.0%
3090,أسمنت تبوك,49.0%,5.73%,0.0%
3091,أسمنت الجوف,49.0%,1.77%,0.0%
3092,أسمنت الرياض,49.0%,8.33%,0.0%
9513,حديد وطني,49.0%,0.26%,0.0%
9514,الناقول,49.0%,0.57%,0.0%
9523,جروب فايف,49.0%,0.49%,0.0%
9539,أقاسيم,49.0%,0.44%,0.0%
9548,ابيكو,49.0%,0.22%,0.0%
9552,قمة السعودية,49.0%,0.25%,0.0%
9553,ملان,49.0%,0.6%,0.0%
9563,بناء,49.0%,0.05%,0.0%
9565,معيار,49.0%,0.29%,0.0%
9566,الصناعات الجيرية,49.0%,0.22%,0.0%
9575,ماربل ديزاين,49.0%,0.4%,0.0%
9576,منزل الورق,49.0%,0.01%,0.0%
9580,الراشد للصناعة,49.0%,0.19%,0.0%
